158,123,universiti putra malaysia (upm),MY,Malaysia,L,FC,VH,4,0,58.8,129,67.5,113,67.6,194,22.7,519,44.3,381,97.3,72,45.4,341,9.7,0,23.2,0
111,110,university of alberta,CA,Canada,XL,FC,VH,5,0,56.8,135,36.5,266,42.8,370,59.1,213,97.9,116,73.2,193,92.1,68,46,152,76.1,170
53,58,university of amsterdam,NL,Netherlands,XL,FC,VH,5,0,83.6,62,44.2,203,21.2,641,98.1,33,92.4,168,79.9,163,97.4,28,49.9,133,64.8,0
84,91,university of birmingham,UK,United Kingdom,XL,FC,VH,5,0,67.5,99,75.7,81,41.3,379,38.2,364,92.3,169,83.9,148,96.0,41,29.5,270,80.4,0
182,242,university of calgary,CA,Canada,XL,FC,VH,4,0,37.7,229,61.2,129,19.9,668,41.5,330,82.8,222,62.0,241,62.3,232,38.6,188,91.5,82
10,27,"university of california, berkeley (ucb)",US,United States,XL,FC,VH,5,0,100.0,6,100.0,6,20.5,656,99.9,7,92.2,172,63.9,235,92.4,66,98.7,15,100,1
29,44,"university of california, los angeles (ucla)",US,United States,XL,FC,VH,5,0,100.0,8,99.8,8,36.6,435,84.8,96,43.4,386,24.8,477,89.8,86,97,20,91.2,86
62,53,"university of california, san diego (ucsd)",US,United States,XL,FC,VH,4,0,89.1,47,50.4,167,49.6,313,74.3,130,68.1,285,51.3,282,94.9,55,17.7,471,72.5,0
163,149,"university of california, santa barbara (ucsb)",US,United States,L,CO,VH,5,0,54.8,142,19.0,470,9.5,0,96.9,41,70.4,274,21.6,522,43.5,352,10.4,0,55.8,0
11,10,university of chicago,US,United States,L,FC,VH,5,0,99.1,17,95.4,38,92.5,72,78.5,122,81.2,225,84.4,145,61.4,236,98.3,17,81.7,0
168,188,university of florida,US,United States,XL,FC,VH,5,0,48.0,171,58.7,137,71.3,180,26.6,467,18.8,604,10.8,699,97.7,24,39,184,95.7,48
139,145,university of groningen,NL,Netherlands,XL,FC,VH,5,0,52.9,148,29.9,326,51.4,304,42.9,311,93.5,159,85.6,140,92.1,67,22.3,372,67.7,214
64,85,university of illinois at urbana-champaign,US,United States,XL,FC,VH,5,0,85.0,54,70.8,100,7.5,0,86.5,86,11.1,0,49.2,303,76.4,164,66,84,83.5,0
75,86,university of leeds,UK,United Kingdom,XL,FC,VH,5,0,70.3,89,76.7,77,37.3,421,42.3,320,85.2,208,90.0,118,98.7,16,37.8,193,90.9,88
381,0,university of luxembourg,LU,Luxembourg,M,CO,VH,2,0,9.1,0,4.9,0,77.2,152,28.6,447,100.0,14,100.0,24,18.4,557,25.6,323,0,0
254,304,university of macau,MO,Macau SAR,M,FO,VH,3,0,10.6,0,14.2,575,12.2,0,96.9,43,100.0,18,99.3,49,11.4,646,41.6,177,4.3,0
33,25,university of michigan-ann arbor,US,United States,XL,FC,VH,5,0,98.3,22,89.9,48,82.2,127,56.2,231,67.0,292,27.6,445,95.4,48,94.3,29,83.7,0
117,101,university of oslo,NO,Norway,L,FC,VH,5,0,55.8,139,11.2,0,81.7,132,64.2,183,86.1,202,25.4,472,95.9,43,41.8,173,91.8,0
3,4,university of oxford,UK,United Kingdom,L,FC,VH,5,0,100.0,2,100.0,5,100.0,8,90.6,73,98.2,110,98.2,60,100.0,1,100,3,97.8,0
12,13,university of pennsylvania,US,United States,L,FC,VH,5,0,96.4,29,89.1,52,99.9,24,68.4,153,96.0,140,70.3,208,83.3,129,100,5,99.9,0
253,274,university of porto,PT,Portugal,XL,FC,VH,5,0,39.8,214,22.9,414,11.1,0,58.1,219,7.3,0,18.7,564,93.8,60,17.6,473,77.3,0
116,134,university of southern california,US,United States,XL,FC,VH,5,0,52.5,150,47.6,183,21.7,634,68.0,157,31.8,474,73.5,191,62.8,228,93.1,32,98.9,15
244,305,university of surrey,UK,United Kingdom,L,CO,VH,4,0,20.4,428,23.4,409,23.2,613,56.2,230,96.8,129,88.3,127,71.1,192,16.8,503,57.7,0
90,137,university of technology sydney,AU,Australia,L,CO,VH,3,0,43.4,195,57.8,143,9.0,0,95.3,52,96.6,132,93.6,95,79.7,146,30.1,260,93.1,72
58,72,university of texas at austin,US,United States,XL,FC,VH,5,0,93.5,35,83.2,65,8.9,0,86.7,85,9.3,0,11.0,691,79.4,147,70,73,77.7,0
250,331,university of waikato,NZ,New Zealand,M,CO,VH,4,0,18.4,484,13.2,0,11.3,0,75.0,128,99.3,91,73.3,192,17.5,568,44.5,162,79.8,0
63,80,university of washington,US,United States,XL,FC,VH,5,0,84.0,58,50.4,168,19.1,692,93.5,62,19.0,600,33.2,392,94.0,59,70,74,88.1,0
112,154,university of waterloo,CA,Canada,XL,CO,VH,4,0,40.7,208,66.7,117,6.8,0,82.9,100,76.8,241,77.9,172,55.4,281,55.9,112,97.1,0
167,162,university of york,UK,United Kingdom,L,FC,VH,4,0,43.5,194,35.3,275,45.0,351,40.3,342,88.3,192,78.2,171,79.2,150,19.8,421,97.8,0
205,228,universität hamburg,DE,Germany,L,FC,VH,5,0,51.0,160,28.7,340,16.9,0,60.0,205,41.6,395,22.3,512,87.2,101,26.8,305,52.8,0
71,69,université paris-saclay,FR,France,XL,CO,VH,1,0,58.9,128,99.1,13,99.8,25,45.8,294,39.1,416,60.8,244,98.7,17,34.3,224,73.6,0
24,26,université psl,FR,France,L,CO,VH,1,0,73.7,82,97.0,25,99.3,33,95.7,49,69.2,280,72.7,196,100.0,3,60.8,97,80.4,0
105,128,uppsala university,SE,Sweden,L,FC,VH,5,0,62.7,111,30.5,320,47.7,330,45.6,296,98.3,108,82.4,152,95.5,47,58.2,105,99.4,12
261,199,vanderbilt university,US,United States,L,FC,VH,5,0,25.2,348,19.8,459,100.0,9,37.2,377,36.4,442,34.6,383,47.1,332,35.7,206,51.2,0
207,214,vrije universiteit amsterdam,NL,Netherlands,XL,FC,VH,5,0,39.6,217,15.7,531,23.6,607,68.1,156,68.5,284,40.2,340,70.1,195,20.2,414,89.1,0
259,251,vrije universiteit brussel (vub),BE,Belgium,L,FC,VH,4,0,23.1,373,16.8,512,75.9,160,22.0,527,93.6,158,59.2,252,88.4,94,31.1,244,67.4,0
194,194,wuhan university,CN,China (Mainland),XL,FC,VH,4,0,40.9,204,44.0,205,12.8,0,87.4,82,40.7,405,5.0,0,48.4,324,35,218,44.4,0
291,302,xi’an jiaotong university,CN,China (Mainland),XL,FC,VH,4,0,21.4,406,42.2,222,17.4,0,80.9,106,4.4,0,4.1,0,36.8,403,20.8,397,34.6,0
16,18,yale university,US,United States,M,FC,VH,5,0,99.9,9,99.9,7,100.0,3,45.8,293,89.8,184,78.8,169,85.8,112,99.9,9,99.2,13
353,456,york university,CA,Canada,XL,CO,VH,4,0,23.0,377,21.0,441,4.6,0,29.2,440,50.6,356,81.2,157,28.0,471,53.2,119,80.8,144
